FAMID ID cg25259754 cg17134153 cg01045635 cg15602298 cg19602479 cg21721331 cg21473142 cg16523158 cg19954286 cg21794222 cg15222091 cg05094429 cg12816198 cg01527115 cg11944933 cg01383082 cg09528494 cg16429190 cg04986849 cg21497594 cg23507676 cg03002059 cg00288844 cg14348996 cg12749226 cg12655416 cg18711369 cg13200575 cg18691862
841 841 0.168985424 0.0925399536 -0.060704053 -0.7114067 -0.478708986 0.4092462 0.295817342 0.127612263 -0.099885425 0.161022624 -0.0360270936 -0.0332460619 0.207589516 -0.1027457427 -0.6078173505 -0.7860444905 0.423707437 1.0487547912 0.132524631 0.337860495 0.09470904 -0.024460143 0.0892067449 0.15951806 -0.184401842 -0.2365724 -0.020665908 -0.06888838 -0.081150424
842 842 -0.092316293 -0.1038324195 -0.09293055 0.29960369 -0.319656042 -0.39242105 -0.372888231 0.365242126 0.303876841 0.239386634 0.2999149942 0.3353968439 0.003097284 0.2133251801 -0.0003804021 -0.0185617625 -0.304740642 -0.5324802708 0.287984161 -0.682312475 -0.189388862 -0.072180614 -0.0567396667 -0.155826526 -0.110726554 -0.08936107 -0.042348029 -0.18531281 -0.011568
844 844 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
845 845 0.001693204 0.5590828053 0.758575888 0.90701149 0.629728198 0.72135841 -0.038445293 0.386201605 0.486917356 0.625839462 0.5640131634 0.0558185609 -0.168476844 0.1744032234 0.0450413108 0.074674909 -0.180466788 0.2937186466 -0.197067121 -0.066738068 0.033100288 0.045025459 0.1133155838 0.075557932 0.264404597 0.01695 0.216003162 0.62530028 0.281684853
854 854 0.15040777 0.6551707642 0.490758387 0.40285367 1.212178808 0.70365593 0.105260126 0.09609674 0.724799947 0.505825042 0.3757702598 0.7058654319 -0.238355282 -0.0359185896 -0.1546924111 0.4709626951 -0.118927502 0.023244174 0.481064068 -0.207176757 0.007912524 -0.055137259 -0.1583083312 0.354993808 -0.382859892 -0.2571456 -0.536552881 0.07299562 0.148669454
867 867 0.738784226 0.0095877412 0.332994958 0.47789422 1.046421918 0.78660592 0.293402351 -0.902617611 -0.725272008 -0.786771928 -0.5044046376 -0.4210898503 -0.520920633 0.0046722834 -0.1872995111 -0.2240007319 0.167369005 0.1251878228 0.133370873 0.422952669 0.085401998 0.192244175 0.0282936957 -0.378292628 0.012921079 0.09550808 -0.210313577 0.41310328 0.53108132
868 868 -0.259950492 0.0002796654 -0.13019076 -0.68216666 -0.238756186 0.39678876 0.033183816 0.589742403 0.628766498 1.056035482 0.6374831676 0.6313536686 -0.369309298 0.3071222468 -0.0683807762 0.1820805164 0.319665382 -0.4329986842 -0.168232498 -0.339182042 0.148873027 -0.065483705 0.1993382716 0.414978106 -0.80463181 -0.3154138 -0.327387444 -0.16659314 -0.444533272
878 878 0.414854418 0.7562139831 0.578477522 0.02627453 0.562389003 0.52190124 -0.245722978 0.369643996 0.494404336 0.547856043 0.4338983127 0.4071504104 -0.152882183 -0.1932605267 -0.1103534862 -0.0068621379 0.346910125 0.8107215468 0.341231693 0.939486168 0.22082053 0.019952662 0.1042972091 -0.175759951 0.600710848 0.3047672 -0.114522689 0.09820517 0.879255074
879 879 -0.739764099 -1.2333897658 -1.21516821 -0.51196338 -1.508421894 -1.33932852 0.157424984 -0.240876738 -0.935273122 -1.120056636 -0.8809454258 -0.88563191 -0.868785012 0.0880723203 0.7411238368 0.143814213 -0.114493409 -0.5450206938 -0.731686389 -0.421411273 -0.15332953 0.124630433 0.3275090808 0.145248209 -0.672442695 -0.1514691 -0.225830682 -0.55821519 0.198813785
882 882 -0.188823359 0.355980145 -0.581714834 -0.41898295 -0.899057387 -1.55868054 -0.063620002 0.006528694 -0.039705064 -0.073910572 -0.0005636904 -0.1522154124 0.340903346 0.1023560928 -0.2418213256 0.1821246428 -0.07854544 -0.0660029347 -0.478398149 -0.195250717 0.096295274 0.134667802 0.0003547614 -0.347725559 0.091764381 0.07000975 0.041148484 -0.22703688 -0.111275061
884 884 -0.097154921 0.1855832543 -0.418349972 -2.72749787 -0.469500928 -0.81098591 -0.194716201 0.383107707 0.23803975 0.404873787 0.4052871339 0.4052469524 -0.090456166 -0.4627931519 -0.305956658 -0.7479164542 0.453887756 0.8295489613 0.835482585 0.74242725 0.007396709 0.170308884 0.028837936 -0.256226749 0.694361428 0.4023583 0.35066993 0.12258374 -0.09468948
891 891 -0.399580233 -0.8817826705 -0.958596214 -0.44678519 -1.631112673 -1.29733558 -0.112405514 -0.355580307 -0.823025968 -0.917024796 -0.6121092337 0.2045130548 0.327790926 0.0461051568 -0.3913697715 -0.6384500272 0.112972821 0.0069261758 0.259404037 0.778753201 0.076102783 0.138522874 -0.0546765934 0.539297567 -0.162576347 -0.1147458 -0.215070883 -0.99986016 -0.652087419
892 892 0.251048425 0.4215015444 0.79502191 1.14753044 1.094760556 1.17614077 0.066009497 -0.122818547 0.008857675 -0.386348033 -0.2133680789 -0.0901609577 0.432773054 0.199372867 0.0303877805 0.4488499827 -0.031416637 -0.1510328428 -0.1057861 -0.571382261 -0.22900151 -0.138903213 0.2315439461 0.334821488 -0.193196793 -0.04090874 0.037507781 -0.6018458 -0.500171824
893 893 -0.130464811 0.0927628193 0.050384385 0.54773567 0.133340285 0.42051621 0.09403592 0.052500271 -0.347383717 -0.952262705 -0.4131270964 -0.4316293114 0.309194812 -0.005845261 -0.6563018152 -0.2545741035 0.003226498 0.129636971 -0.126946044 0.233886931 -0.14736008 -0.094602286 -0.2068361299 0.515096546 -0.094104899 -0.1752265 -0.237402458 0.06197597 -0.010436034
896 896 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
898 898 -0.032948207 -0.0937729993 -0.583797062 0.64790394 -0.124015384 -0.39763828 0.065761902 -0.276111388 0.217314771 0.330711935 0.3263006825 0.5192784811 0.302657677 -0.5605262418 -0.5349170132 -0.2779691331 0.096354949 0.2004297126 -0.257746188 0.497518617 0.203263157 0.261996355 0.1604987281 0.079974575 0.029326565 0.08982791 -0.175575083 -0.10750516 -0.312547095
905 905 -0.02146535 0.1344480934 0.463003943 0.51510669 0.608741389 0.7701612 0.10319535 0.101604836 0.268732549 0.348675768 0.3130405129 0.4165375102 0.326263703 0.0851835307 0.3485764204 0.3002962904 0.013119649 -0.0516857277 0.228482841 -0.457326535 0.036409309 -0.141587978 -0.4475292551 0.520897949 -0.61595386 -0.2328417 -0.119672805 -0.37775103 -0.634926259
912 912 0.520925772 0.1708272548 0.917561107 0.57154179 1.338207252 1.89118245 -0.235243183 -0.184999613 0.207464016 0.333172111 0.238435074 0.0549207077 0.486468937 -0.6374608762 0.133380175 -0.3943859561 0.224731293 -0.0071251706 0.417737665 -0.272372813 -0.023414353 0.046585737 0.0352205157 0.387194089 -0.519446829 -0.2209997 -0.262714978 -0.49440391 -0.025110838
915 915 -0.002464477 -0.0026529803 0.3010106 0.71997098 0.302912307 0.21090911 0.059804017 -0.333038831 -0.386618406 0.069899113 0.0206139236 -0.0482295116 0.409619279 -0.0868017849 0.5288674287 0.1016252126 -0.473451748 -0.0272660294 -0.456564784 -0.422054019 -0.061480749 -0.140122464 -0.1476330985 -0.293042273 0.030082405 0.09568241 0.1343894 -0.04639868 -0.27351599
923 923 -0.206069986 -0.7636156136 -0.326193031 -0.78490002 -1.604175504 -1.28821524 -0.16628753 0.585711094 0.134223298 0.324775114 0.3473809631 0.0198117077 0.089749046 0.3673263645 -0.0007595264 -0.0085502399 0.061823733 0.1020679346 0.341249388 0.348743291 0.049130765 0.005000929 -0.2938345154 -0.285516957 0.183711875 0.02592456 0.219575531 0.20240816 0.179048357
926 926 -0.101184007 -0.1407338699 -0.184855257 -0.15490259 0.125405653 0.70243986 -0.232857076 -0.104482818 -0.531685225 -0.249396231 -0.2289466901 -0.316800589 -0.382430397 0.4312205717 0.3403377423 0.2607397991 -0.087026419 -0.5706412351 -0.006361229 -0.391832043 -0.019061097 -0.079647534 0.2399500119 0.083009035 0.131548647 0.1855636 0.15910725 0.43412095 0.323408642
929 929 0.195651095 -0.251614782 0.489510028 0.06656466 0.018462879 0.13483314 -0.186244821 -0.646457563 -0.57840199 0.050504803 -0.1653500639 -0.1493853274 -0.124024371 0.1420140527 0.6844649214 -0.2497516811 -0.082100581 -0.5933440521 -0.514576674 -0.293981423 0.034577442 -0.214432258 0.1036430999 -0.35443722 -0.023942456 0.07932625 0.099581499 0.12483735 0.055659159
930 930 -0.446271098 -0.4117682528 -0.973123625 -0.35028717 -1.503052186 -1.07334716 0.266156837 -0.190940117 -0.011909777 -0.739900058 -0.4667296989 -0.6074186588 -0.053693539 -0.2862883665 0.3448261101 0.7711397565 0.201171057 0.1883414471 -0.010403956 0.576830398 -0.082318689 -0.051054455 0.3975620647 0.137386925 -1.018825614 -0.279045 0.187714913 -1.02964613 -0.403293339
932 932 -0.097136961 -0.8955564527 -0.727995941 -0.27166281 -1.098104019 -0.406974 0.10434089 0.57797937 -0.327121076 -0.30031272 -0.3446732013 -0.3491374233 -0.197662967 -0.3399702014 -0.6398913937 -0.5726591355 0.099708496 0.3532031369 0.113107868 0.244350533 0.391931123 0.033273654 -0.1834563193 0.06843057 -0.626725486 -0.07500276 0.089422009 0.06086723 -0.179273305
934 934 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
935 935 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
937 937 -0.087181619 -1.1662725903 -0.471861989 0.19508511 0.001089655 -0.19785033 0.147069618 -0.106382418 -0.301360831 -0.594826395 -0.3841285804 -0.1840774848 -1.113655169 -0.0491243414 0.1002526247 0.5960622559 -0.301664272 -0.6491769377 -0.505167875 -0.110214094 -0.240797078 0.03362706 0.0218514944 -0.175988525 0.537326297 -0.03946503 0.011882515 0.66981699 1.034199277
938 938 0.034546081 0.2238713625 0.42932792 0.16395843 1.078732807 1.03430335 -0.229663423 -0.113589928 0.063776982 0.186210059 -0.0101230976 -0.1056280969 -0.157401125 0.3149948302 0.2130851817 0.1996629182 0.018894021 -0.3557777057 0.301272684 0.054686504 -0.009530527 -0.18822951 0.017545679 0.141915285 -0.086205902 -0.008769811 -0.049052547 0.25569113 -0.330807187
944 944 -0.054791521 0.2231294412 0.077420985 0.35586423 -0.276862332 -0.11724145 -0.041979872 -0.603394626 0.088010919 -0.118929856 -0.3560480864 -0.1241347864 0.714879276 -0.1459774551 -0.2941496665 -0.1586424585 0.116409464 0.4356523477 0.247307831 0.483128191 0.008738792 0.04326214 -0.056427841 -0.30571729 0.220957814 0.0005004906 -0.345703975 -0.27174154 -0.379922841
945 945 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
946 946 0.165022457 0.9444060177 0.663183455 0.50506371 0.622830427 0.20162445 -0.131859874 -0.061897821 0.172606084 0.053836896 0.2551825825 -0.5410988533 0.512934413 0.3674551869 0.2168911421 0.2839505138 -0.028651343 -0.0614699136 0.077676294 -0.124114188 -0.031491313 0.065755254 0.1786969763 0.136821891 0.064984742 0.03231896 -0.230212107 0.08287774 -0.164028085
948 948 0.304133419 -0.3424929723 -0.027505284 -0.28853964 0.108903119 0.06007514 0.035507421 -0.171201234 -0.386832509 -0.171091505 -0.2318636935 -1.376673642 1.038705643 -0.1037345607 -0.2427518794 -0.0069800617 0.345002821 0.441922885 0.428499213 0.313645096 -0.00904762 0.313967622 0.1649754631 0.231311676 0.16251783 0.1364946 0.210204446 -0.29272693 0.370324521
954 954 0.298253613 1.1661760505 0.877535163 0.62424737 1.313425172 0.4551601 0.319669791 0.39587849 0.075596399 -0.399655646 0.0112388968 0.3569607631 -0.898005084 -0.1069692767 -0.5647172232 -0.2322190101 0.349758972 0.7592344046 0.614918741 0.462375975 0.097067654 0.114164987 -0.0267921917 -0.124107424 -0.031704949 -0.2183663 -0.142810328 -0.15902209 0.455645381
957 957 -0.201353499 -0.2621332425 -0.273834592 -0.48092534 -1.022721203 -1.46723811 -0.180195893 0.429793384 0.575756978 0.875016093 0.5518654377 0.7369848171 -0.216341603 0.2810257619 -0.5895761172 -0.0717838094 0.188416254 0.5063331384 0.202593371 -0.482745898 0.016775524 0.12707638 -0.0402743748 0.254686833 -0.406498698 -0.12794 0.03294288 -0.0900971 -0.560920996
962 962 -0.012082184 -0.2006425687 -0.111588453 -0.10551527 0.140955884 0.03842443 0.499854654 0.228009313 0.02972431 -0.386719401 0.0224252891 -0.1382477068 0.490786587 0.0021171021 -0.1749329778 0.3130385561 0.017500612 0.3390043405 -0.292005934 0.140725115 -0.027227759 0.130860825 0.0744709968 -0.161711324 -0.091323912 0.1896889 -0.709682661 -0.90448604 -0.545360517
965 965 0.067916494 0.3428210187 0.575900164 0.12907415 1.755807382 1.16454466 -0.384441642 0.088156352 -0.217771686 0.509567884 0.2851325865 0.352609802 0.332039074 0.3341399012 0.5042941767 0.0604382647 -0.121487749 -0.8667827907 0.10734196 -0.369687654 -0.048668951 -0.222462415 0.1337426422 0.308452663 0.06680101 0.02405463 0.1523426 0.55303499 0.422343937
967 967 -0.021542424 -0.1676662768 0.070521387 0.56747725 0.004951287 -0.35828114 0.125936645 -0.086640849 0.090461427 0.303404539 0.1836168546 0.3124583709 0.116324611 0.1015765153 -0.021792187 0.4709819049 -0.169805664 -0.1080603412 -0.139940076 -0.194666673 0.209517608 -0.158833768 -0.3875963171 -0.359439797 0.053298567 0.1836374 0.128057298 -0.07427967 -0.145724064
969 969 0.118001674 -0.1826509988 -0.262002762 -0.14942796 -0.659713128 -0.66795614 -0.024218448 0.36436793 0.208952446 0.447896095 0.3109843734 0.1768370443 0.090897004 -0.3770636178 -0.663656737 -0.9712713707 0.204858272 0.4439519837 0.294867692 0.158835467 -0.099197134 0.488044768 -0.1321514642 0.265595952 -0.625075252 -0.3828539 -0.147924974 -0.86622884 -0.38733257
973 973 0.192433788 0.0011498057 0.481312544 0.48280033 0.905914209 0.98643669 -0.340625524 -0.460582296 -0.944830106 -0.616693106 -0.413473372 -0.3909752685 0.290109265 0.1266940195 0.1167246628 -0.2848696536 -0.206658693 -0.1521976722 0.433763663 0.483065638 -0.020849249 -0.162413612 0.0097617665 0.254832221 -0.612659322 3.534198e-05 -0.017091162 0.14730736 -0.067472338
974 974 0.224517299 -0.4302263243 -0.347820825 -0.67402996 -0.291863688 -0.63654885 -0.06545377 0.247952603 -0.09316559 -0.24642074 -0.1253143499 -0.0528055614 -0.480106985 0.0918206397 0.2928714908 0.669421782 0.095637603 -0.0341237644 -0.385596967 0.205769621 0.100889233 0.188450074 -0.0310414761 -0.184465051 0.697882503 0.3146614 0.214403743 -0.11905494 -0.184423235
975 975 0.137969874 0.4533662371 0.351396764 0.25332891 0.604604805 0.56409996 -0.311843605 0.671205411 1.089926858 0.876948946 0.6875495309 0.9252947556 0.240714836 0.0969815511 -0.0833514251 0.0698215282 0.170385289 -0.0006018283 0.489979389 0.495633184 -0.125096834 -0.011218872 0.0886646256 -0.142479023 0.026113591 0.1132598 0.224126436 0.4706174 0.467404022
978 978 0.166833313 1.6892850107 1.065054147 0.80249636 1.758199717 2.0339099 -0.091170591 0.445480368 0.679626037 0.724911928 0.7288789998 0.9391255621 -0.178138168 0.0374608468 0.008779385 -0.261971492 -0.0421054 -0.3352914882 -0.206435357 -0.597836321 -0.009880575 -0.57881888 -0.133843715 -0.072567987 -0.029434393 0.1775822 0.096047759 0.33166749 -0.228038029
980 980 -0.331576088 0.414032609 -0.105810698 0.55914148 -0.482058154 -0.79651591 0.049689336 -0.171869367 0.666931605 0.623004613 0.4423321667 0.3220460503 0.489799748 -0.0981162382 -0.1051663508 0.0354884118 0.104478584 0.3714819927 -0.503162429 -0.183554987 -0.28350034 -0.213531136 -0.0154981991 -0.607105807 1.284189274 0.1964071 -0.016244225 -0.1157791 0.403295863
992 992 -0.314868249 -0.491597455 -0.517368936 -0.52019299 -0.413576406 -0.87905154 0.2976726 -0.14789397 0.012503256 0.188015074 -0.0926196045 0.0216206101 -0.604789422 0.0691787451 0.0241407249 -0.4546336403 -0.137825234 -0.1874668392 -0.01026418 -0.182467439 -0.341374784 -0.364288483 0.1405279924 -0.250208984 0.177633079 0.02197644 0.264971399 0.82094406 0.648478486
995 995 -0.206325622 -1.0631202889 0.087568997 0.46149721 -0.515518736 -1.49168917 0.111258805 0.04021906 0.169712286 0.3229538 0.2056510103 0.2813622115 -0.921544292 -0.0715862475 -0.0044288477 -0.0749257214 -0.007945531 -0.5805517793 0.401067918 -0.224341746 -0.21844997 -0.152220156 0.0345348507 -0.475022691 0.349594563 0.0910216 0.332291849 0.33972599 0.507609142
996 996 0.22471967 0.4915048875 0.174775353 0.33421735 0.778523326 1.06193201 -0.108364747 0.494344132 0.464096208 0.586890408 0.4203637473 0.610007039 0.011437369 0.0393671944 0.1750845298 0.1600043441 -0.138388651 -0.0265612531 -0.544358267 0.336107163 0.079427444 -0.240913072 -0.2719240614 -0.015332811 0.442327088 0.232846 0.22461767 0.27847696 -0.155803533
1000 1000 0.173098929 -0.0394713548 0.347569286 0.49820902 0.606238681 0.61573993 -0.361409906 -0.195681425 0.266076544 0.129503147 0.2050164382 -0.1067180623 -0.234970409 -0.2104786041 -0.8509887129 -0.295798918 0.320225579 0.3102680063 0.233437775 0.5101715 0.102064821 -0.030422416 -0.487379854 0.329024916 0.085324059 -0.1841433 -0.186952904 0.31009783 -0.055533094
1003 1003 -0.012657778 -0.1778929729 -0.133920048 -0.76743896 0.025500447 0.02812504 -0.129410322 -0.072065507 -0.564939497 -0.002390906 -0.3224995261 -0.3253060879 0.756660846 -0.308576302 -0.1531521057 -0.2974397934 0.257595895 0.3406731394 0.009959658 0.524733383 -0.012792128 -0.001865016 0.1611343529 -0.443766166 0.26234263 0.2341701 0.081820239 -0.17102516 0.084294829
1005 1005 0.17099318 1.3945656096 0.749916905 0.9672985 1.080814834 0.76581276 -0.136173522 0.531412145 0.613749239 0.730089141 0.4697750144 0.2877549604 -0.105233387 -0.1264437097 -0.101719595 -0.283651999 -0.01814861 0.4607438686 0.435543553 0.020146531 0.00552975 0.022985079 -0.1863600106 0.164140539 -0.135872565 -0.2099437 -0.619613469 -0.10680163 -0.638022399
1008 1008 0.075996254 -0.3737358585 -0.288556422 -1.79741446 0.334784462 0.02932272 0.208018476 -0.391231196 -0.3790681 0.024273413 -0.0951439454 -0.2325005732 -0.06750088 -0.2047241143 0.1702126402 -0.2568260111 -0.206659406 -0.7694577241 -0.427521888 -0.686188803 -0.20642922 -0.188763276 0.3421120631 0.45506447 -0.11264255 0.03912415 -0.156444742 0.39226604 -0.534953719
1010 1010 0.281215768 0.3699921648 0.415449676 0.51385552 0.947986294 0.85773396 0.272776274 -0.371146888 -0.551740307 -0.145928398 -0.1763255421 0.1880418812 0.879348376 0.1616294862 -0.293851536 -0.012201693 -0.073649868 -0.5202841508 -0.187188195 -0.482948831 -0.028835312 0.130496777 0.4186753881 0.12646158 0.26129977 0.06237229 0.561372147 -0.04125428 0.185109557
1019 1019 -0.045135821 0.5602799268 0.172484175 0.35730429 -0.319238318 0.37198058 0.146186774 -0.269959217 0.153037545 -0.216316329 -0.28853782 -0.321934511 -0.123771618 -0.1203899509 0.3595371694 -0.0452453809 -0.149325035 0.1109162532 0.10443324 -0.034548897 0.06067785 0.036414218 -0.3656556547 -0.039860338 0.078282454 -0.4072015 0.528807556 0.21678883 0.62144506
1020 1020 -0.086456305 -0.5614711429 -0.872431519 -0.85583121 -1.524229353 -1.59848846 -0.209471574 -0.064952491 -0.313153194 -0.215662375 -0.2368496485 -0.2829168924 0.027564619 0.0300850567 0.0140883992 -0.0240115757 -0.123707505 0.1436793684 -0.285197623 -0.727279607 -0.273098302 -0.144269542 -0.1963579405 0.304263678 -0.480722163 -0.2138552 -0.046608183 -0.41889738 -0.576998419
1022 1022 -0.246948058 0.1427878681 0.248479577 -0.14743103 -0.128324669 0.35492906 -0.138198088 0.118053593 0.283890523 0.387143507 0.1365395045 0.4324088166 -0.003886985 -0.2501113993 -0.1468585365 -0.2556409997 0.108182892 0.6236306283 0.684220403 0.667399442 0.166806007 0.397431588 -0.3012577733 0.548298446 -0.737861525 -0.5077259 -0.599286862 -0.23319961 -0.540133168
1032 1032 -0.02429294 0.3175909709 0.142318486 0.34219131 0.384886277 0.08539663 0.117672138 0.213631499 0.489518494 0.130695833 0.3466173609 0.2676087193 -0.232295484 -0.065206036 -0.2848861907 0.0269775981 -0.031635205 -0.2060379332 -0.128218876 -0.355740802 0.021282415 -0.02255793 -0.0159364115 -0.002247968 0.376785339 0.2549028 0.160729078 0.01992801 -0.108481391
1037 1037 -0.248984823 -0.1887154008 -0.006513004 0.21080159 -0.221824564 0.27197142 0.016818881 -0.058959113 0.119555932 0.058389658 0.1210877572 -0.1575936495 0.423252295 0.2293783381 0.1864853557 -0.2259350915 -0.252219965 -0.4758314771 -0.196878454 -0.665457997 -0.165587701 -0.086026402 0.0175185865 0.107090554 0.338103741 0.1519358 0.223664332 0.77274839 0.261450157
1042 1042 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1050 1050 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1051 1051 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1054 1054 0.230250456 0.4251124374 0.304256988 0.51637641 0.821127214 0.16271625 -0.044836893 0.425699949 0.645376467 0.724866558 0.4064215521 0.498672086 -0.459498903 0.132882518 0.144003876 0.4127303638 -0.027436782 -0.4431396286 0.111439895 -0.074234568 0.00303314 0.096943808 0.0841574112 -0.30547519 0.693897854 -0.0395149 -0.091413258 0.60100709 0.631555576
1058 1058 -0.078725661 -0.2172935226 -0.346527364 -0.60590124 -1.343587569 -1.42401417 -0.261173081 0.526140687 0.547931208 0.58047192 0.5133596241 0.2051932992 1.375778469 0.1873542667 0.0115931959 0.2044107716 -0.152167576 -0.3863308968 0.326674653 0.252552658 -0.096159538 -0.143796932 -0.0684968775 -0.144437747 -0.058693713 0.1871627 -0.24600629 -0.108578 -0.2715732
1067 1067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1070 1070 0.046994679 0.2448593511 -0.1773158 0.35891891 0.023775158 0.64972524 0.101936467 -0.249465211 0.019770871 -0.316770699 -0.0339126198 -0.3209664726 0.062481029 0.1676022008 0.1637038892 0.3627004389 -0.157110479 -0.2933203358 -0.730039014 -0.089462735 -0.211426217 0.062515083 0.0561470079 -0.566072687 0.699491269 0.5071775 0.040626192 0.23419765 -0.412574872
1072 1072 0.075134269 -0.0177284715 0.032807184 0.61140127 -0.005990913 0.65783498 0.189431029 -0.540541209 -0.156249914 -0.210538344 -0.0363587936 -0.3440489404 -0.014812523 0.1626031355 0.4269445857 0.7174784787 -0.156121317 0.0872970927 -0.412768123 -0.145533872 0.206703481 0.008528469 0.2204712413 -0.180911631 0.231295368 0.1722578 -0.003954772 0.19800477 0.734516462
1076 1076 0.297388561 0.2039008563 -0.033039698 0.75154008 0.291863505 -0.80432783 -0.236264203 -0.359322247 0.076066728 -0.639117195 -0.1567436545 0.2686905993 -0.58407015 0.255703216 0.5005863608 0.1574293864 -0.096782518 -0.4993482744 -0.525664734 -0.5249864 0.067968466 -0.002932403 0.1824352875 -0.425132689 0.08145859 0.2012993 0.146026048 -0.66918167 0.025769152
1080 1080 0.161143051 -0.3443764017 -0.127576416 -0.65748274 -0.233322347 -0.45940247 -0.16108637 -0.214389533 -0.012730507 0.015963301 0.015562719 -0.3545629498 0.272616494 -0.2733024715 0.3974203973 0.4208702337 -0.068737897 -0.0506661639 -0.867331305 -0.192839901 0.076601455 0.075839262 0.1646512134 -0.222980953 0.148872991 0.02232456 0.471765376 0.07193428 0.127463392
1083 1083 0.040337466 -0.7569799141 -0.812414381 -0.39999092 -1.504423654 -1.54268019 0.070020437 -0.271431817 -0.269390054 -0.287881773 -0.2249289956 -0.3021356385 -0.190476366 -0.0104649158 0.1347795464 0.1788328687 0.038460184 0.2391468082 -0.283874183 -0.111291436 0.012334966 0.15020028 -0.2173218664 0.195703971 0.26973671 -0.08146759 -0.042955917 0.02021203 -0.216926765
1085 1085 0.165521376 -0.023978071 0.48976505 0.02067588 1.226337629 1.08673742 0.141112053 0.103281401 0.269270092 0.064084094 0.0536954549 0.0006773443 -0.117637042 0.1036129766 -0.0903796219 0.0451336746 0.451247574 0.8149535802 0.32888446 0.759986179 0.066453643 0.024621083 -0.420622534 -0.063356036 0.115223353 -0.1327161 0.107041179 0.77673798 1.046048265
