FAMID ID cg25259754 cg17134153 cg01045635 cg08786003 cg19602479 cg21721331 cg18707136 cg23343972 cg15667493 cg10404427 cg21124310 cg15431103 cg16130019 cg11187739 cg07522171 cg08519799 cg00184826 cg16213375 cg18711369 cg10909506
882 882 -0.153634749 -0.376451477 -0.173400506 -0.61280288 -0.31573932 -0.1553286 0.301005603 0.428939532 0.331667297 0.57096126 0.540324546 0.05301463 0.394476875 -0.016630544 0.0118867526 0.011019086 -0.022194108 0.007721766 0.523253661 0.245939233
884 884 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
891 891 0.189295502 -0.065056738 -0.156430055 -0.17791319 -0.31582693 0.07294774 -0.15638038 0.099757734 0.074324553 -0.01837719 -0.013751819 -0.085222802 -0.063435705 -0.092430595 -0.079648235 -0.314945966 0.229056439 -0.08900101 0.141697813 0.044589883
892 892 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
893 893 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
896 896 0.12073425 0.258522602 0.239025738 0.32488588 -0.45132593 -0.06605562 -0.067930848 -0.281232352 0.045777348 -0.28871575 -0.884580421 -0.264582548 -0.197294772 0.095012403 0.2472790829 0.231273767 -0.177439968 0.087080669 0.449812678 0.673679598
898 898 -0.208222967 0.023642092 0.642355712 0.43932507 0.65119183 0.2652781 0.122856316 -0.031798046 -0.26417826 -0.23712951 -0.135565224 0.026304613 0.007933308 0.176507115 0.1164299898 -0.68279752 -0.310547065 -0.10096645 0.022227791 0.159051723
905 905 0.209392321 0.30755254 0.378568677 0.46939587 0.56260199 0.8057532 -0.17382197 0.341825023 0.042798799 0.12055004 0.651842545 0.171481317 0.268497259 0.083056543 -0.0946231069 0.369366956 0.241197883 0.137095131 -0.254062981 -0.452321044
912 912 0.212435538 0.494173467 0.337258395 0.32137495 0.59323261 -0.1355081 0.004046242 -0.07515233 -0.209276371 -0.43065425 -0.433334317 -0.229707368 -0.02100382 -0.048496641 -0.1045049702 0.183772799 0.245693616 0.062122763 -1.036982739 -0.968621901
915 915 -0.07945585 0.11002215 -0.240189362 -0.32972481 -0.66384927 -0.2495518 -0.254802616 -0.005399189 -0.195891334 -0.45962255 -0.439363179 -0.210244693 0.354181696 0.054880679 0.2039595765 -0.141443912 -0.433126431 0.18501525 -0.419948108 -0.393886943
923 923 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
926 926 0.200503062 0.725335616 0.641274095 0.7559058 0.39234448 0.8215063 -0.309209668 -0.006204535 -0.252156132 -0.32708489 -0.654920419 -0.060244646 0.110923022 0.244828845 -0.0461516385 0.294840442 0.21555617 0.108525107 0.312356125 0.11519827
929 929 -0.126014537 -0.170268713 -0.162365935 0.32431559 0.299687 -7.302085e-05 -0.111686915 -0.282504908 0.125859347 -0.11661667 -0.132346637 -0.089721249 -0.246313313 -0.030718774 0.0182386448 -0.31558929 -0.102213431 -0.284987582 0.347453133 0.444558992
930 930 -0.254502294 -0.367784605 -0.291923006 -0.90350039 -0.41929866 -0.7419181 0.327840148 -0.361728419 0.151285392 0.25118538 0.18261908 -0.075772439 -0.001286805 -0.168721432 0.1245545977 -0.631299504 -0.358386188 0.167108871 -0.129941041 -0.260913321
932 932 -0.308996726 -0.53798768 -0.287990707 -0.32939701 -0.14571527 -0.5857325 0.376464209 0.231371439 0.107761903 -0.05366481 -0.0430887 0.093431877 0.307077678 -0.165645279 -0.0993284249 -0.37753339 0.089078423 0.124053104 0.007198533 -0.068076261
934 934 0.09004313 0.039921744 0.233525736 0.12693066 -0.06339141 0.2616975 0.086315765 0.037182917 -0.218658851 -0.17826136 0.29898061 -0.06692068 -0.172188112 -0.053964426 -0.1177654339 0.256558701 0.080937365 0.26057613 -0.06905832 -0.364922209
935 935 -0.127113171 -0.502037641 -0.68058437 -0.31295547 -0.63845215 -0.5233709 0.196079408 -0.386410368 -0.064380728 -0.27214298 -0.617950315 -0.077246526 -0.084325403 0.376233404 0.0378632255 0.184532105 -0.252797015 0.019064818 -0.189869089 -0.558523362
937 937 0.028853481 -0.105094241 -0.290366261 -0.63587739 -0.44871259 -0.6393115 -0.048962606 0.299715163 0.019800614 0.3107083 0.17157749 -0.181742465 0.235509421 -0.556418796 -0.5736076279 0.193262874 0.151230509 0.123272685 0.021509736 0.335381247
938 938 0.020581747 -0.134107654 0.108722671 0.37937454 0.3586194 0.4073908 -0.142979377 -0.280147745 -0.17546853 0.0881572 0.485533764 0.04576735 -0.032683273 0.068572046 0.0651580187 0.378684762 -0.482301524 -0.240445186 -0.035034564 0.392252602
944 944 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
945 945 -0.14142301 -0.163468612 -0.365369806 -0.45932801 -0.5481578 -0.7950139 0.291168178 -0.389239925 -0.302859864 -0.12881939 -0.497310137 -0.391915469 -0.093036836 -0.47980144 -0.2835963905 0.869425817 0.344993145 -0.237052791 -0.032311104 -0.226230018
946 946 -0.12608626 -0.834455362 -0.588294505 -0.22727093 -0.53908649 -0.3690741 0.079360669 -0.985351653 -0.267377408 -0.3061432 -0.965845754 -0.002830524 -0.3692209 0.013025458 0.062879769 -0.211100978 -0.081254622 -0.067121843 -0.197617499 -0.219369572
948 948 -0.064491225 0.183779609 0.529829083 0.2355902 0.55541501 0.2710857 0.046684633 0.017954924 0.19501942 0.49159537 0.551539646 0.106974426 -0.249494865 0.256341205 0.2511624577 -0.396219765 0.043615769 -0.15954544 -0.280156787 -0.254088241
954 954 0.171581231 0.396250728 0.422288605 0.03067857 0.26683239 0.6040179 -0.268452137 0.700351956 0.212340555 0.41996188 0.709517943 0.628068271 -0.258798487 0.179604425 0.2138305082 0.11744846 -0.111457258 -0.182810635 -0.054804036 -0.152080064
957 957 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
962 962 -0.216932633 -0.137232929 0.277584211 -0.11330182 0.02488647 -0.02544961 0.0989479 0.447571644 0.766830369 0.63602228 1.074036771 0.451797844 -0.004277914 0.015088929 0.0864572447 -0.086403405 0.389427841 0.052824173 -0.686522006 -0.578409583
965 965 0.090819379 0.068108163 0.017270515 0.22136903 0.18729278 0.2349719 -0.098495113 0.062013882 -0.115710301 0.49007152 0.708030078 0.306436526 -0.041885887 0.513671061 0.0828746681 0.180107099 -0.058923439 0.277530741 -0.227760266 -0.36640994
967 967 0.031679186 0.178168839 -0.259845713 -0.04955741 -0.03808723 0.2248149 -0.01433217 -0.221225327 -0.370110533 -0.1687995 -0.571926842 -0.473919872 0.329995491 -0.092693628 0.2956103196 -0.061897432 0.049100434 0.176698697 0.568559108 0.195474116
969 969 0.070210288 -0.162001197 -0.401966509 -0.35726834 -0.10168065 -0.2212426 0.294693934 0.146217534 -0.175580149 0.34252556 0.153191848 -0.091591037 0.012265311 -0.206729226 -0.1566115772 0.489138779 0.220332932 0.217369919 0.032057767 0.284288693
973 973 0.313203839 0.428952631 0.451870681 0.49648329 0.63740047 0.4590872 0.139954279 -0.100129479 0.138888332 -0.45681949 -0.343503073 -0.169045632 -0.193343235 0.058403178 0.1064639969 -0.28030747 -0.197904911 0.13991103 0.058344362 0.180814445
974 974 0.117358339 0.419629911 -0.118140454 0.23589021 -0.19147767 0.2885776 -0.1695135 0.043327467 -0.218181262 -0.18784161 -0.370716827 0.089101613 0.323498445 -0.118136908 -0.2065548724 0.490802915 -0.318375341 0.008173873 1.944743971 2.496223254
975 975 -0.211160691 0.102384459 -0.008074242 -0.17100495 0.02817172 0.01805747 0.118963475 -0.498103145 -0.16121923 -0.22232842 -0.629780936 -0.038451267 0.265875212 -0.22521179 -0.0796378617 -0.154070591 -0.113007539 0.128902982 0.788322812 0.852805994
978 978 0.182284991 0.597127215 0.565813957 0.29007437 0.19812601 0.1721694 -0.005795065 0.28220026 0.093162284 0.10837691 0.337077786 0.247621457 -0.385768289 0.313534149 0.0929433574 -0.302186955 -0.311734766 -0.419108527 -0.067190462 -0.344069329
980 980 0.06481034 -0.039033942 -0.107581039 0.18802513 -0.09207605 -0.03336598 -0.115636855 -0.148456622 -0.115578159 -0.33045382 -0.323969356 -0.157812398 -0.148412736 -0.017183047 -0.0797534112 0.107078046 0.110199624 -0.228457774 -0.030592452 0.007049942
992 992 0.061382741 -0.252288493 0.137492242 0.0354154 0.01051343 0.2298507 -0.085393215 0.261977318 0.578533457 0.82512248 0.600618008 0.473717053 0.134504148 -0.022502169 0.0184384501 0.540036399 0.228550611 0.259743186 0.333248582 -0.178462758
995 995 -0.086813035 -0.229625324 0.090288506 -0.05912151 0.08336546 0.01197179 0.155625222 -0.38517989 -0.395630712 -0.94232439 -1.427011337 -0.673565925 -0.189935619 0.005760523 0.0926996425 0.118422516 -0.434627543 -0.985411059 -0.123130634 -0.26973438
996 996 0.115414599 0.500361505 0.340639199 0.45202023 0.30374197 0.422145 -0.053504562 -0.1850887 -0.150296715 -0.13161185 -0.629863906 0.039920623 -0.080351585 0.052875003 -0.0711891804 0.098219447 -0.002802056 0.226485845 0.418558467 0.121620794
1000 1000 0.139637305 0.282790793 0.564746896 0.31671179 0.37176417 0.2196451 -0.222046019 -0.023834285 -0.14217989 -0.16146305 0.412830083 -0.020961322 -0.309920717 0.473135645 0.4294332524 -0.493892917 -0.255508961 0.384618609 -0.418003429 -0.516532301
1003 1003 -0.231631894 -0.117032733 -0.65603982 -0.38255929 -0.37361691 -0.5157514 0.04829692 0.142398846 0.107025396 0.14338914 0.348735376 0.135720846 0.347589187 -0.248498549 -0.0929732861 -0.391102205 0.214553528 0.041553568 -0.6292194 -0.741544867
1005 1005 0.103424438 -0.067564315 -0.158847667 0.02277487 0.10391432 0.06430443 -0.053060875 0.458855383 0.331491426 0.50941381 0.174942852 -0.03630084 -0.115367582 0.085467607 -0.4595791116 -0.454691851 0.341017588 -0.140892702 -0.861725213 -0.854372742
1008 1008 -0.139946549 -0.086296388 -0.137791734 0.18156215 -0.10246827 0.1127232 0.047272032 -0.274279249 -0.387128678 -0.32834186 -0.487093015 -0.196786954 -0.199921817 0.142088381 0.2938258889 -0.508618011 -0.052827743 -0.147352886 -0.45467001 -0.7734222
1010 1010 0.211465296 0.431841786 0.306917173 0.69080095 0.81141234 0.5167476 -0.101499587 -0.130013666 -0.154251551 0.30286504 0.093686697 0.016976154 0.219876902 0.088118781 0.1232457768 -0.282585004 -0.186806855 0.134192804 0.007248956 -0.261686303
1019 1019 0.211690908 0.337997306 0.432493664 0.46343987 0.28507602 0.4743477 0.111805525 0.206549294 0.029897822 0.21757506 -0.166896312 -0.036543873 0.336078754 -0.26359811 -0.1132546855 0.20803725 0.298661923 0.190166857 0.97263395 0.988350166
1020 1020 -0.114006824 -0.328578801 -0.918024903 -0.77590051 -1.11011026 -0.9279169 0.131482773 -0.138902267 -0.585332206 -0.70518088 -0.559935383 -0.40596529 -0.258996258 0.286548571 0.4417416287 -0.29080924 -0.307395546 -0.03307731 -0.252246487 0.097219488
1022 1022 0.069928126 -0.032413069 0.1980232 0.3130726 0.34584244 -0.08374114 -0.099407605 0.051588051 0.029196887 -0.22349149 -0.192398639 -0.002207463 0.05805775 0.143975482 0.3445650943 -0.491277377 -0.084887143 0.226716296 -0.880184522 -0.942552684
1032 1032 -0.051468952 -0.152675823 0.165547624 0.39225069 0.18933838 0.0120278 0.030435781 0.455252442 0.298643049 0.70830458 0.185532746 -0.116136267 -0.358494739 0.012189292 0.1469276514 -0.245282094 0.045926886 0.254958048 1.376674971 1.706118392
1037 1037 0.049289442 0.017230483 0.093540406 0.10412559 0.52774496 -0.2051242 0.081649654 1.402119288 1.136871156 1.35968961 1.816610415 0.713360911 -0.223505175 0.232809876 0.506031634 -0.297772189 0.016194279 0.081179116 0.175974399 0.176698229
1042 1042 -0.088850916 -0.405926076 -0.859007175 -0.82480346 -0.76310525 -0.7737495 0.084150103 0.177643757 0.040282467 -0.04977521 0.214579699 -0.06844613 -0.35241053 0.111285635 0.0547647665 0.26592518 0.061261416 0.198287966 -0.227797489 -0.464113278
1050 1050 0.189427736 0.181336941 0.727270648 0.09100672 0.71551541 0.3229337 -0.03516567 0.417217669 0.232179448 0.95337959 1.375357627 0.23226482 0.476953409 -0.14110544 -0.2426951311 0.212562208 0.200052323 0.108616203 -0.239493878 -0.513900737
1051 1051 0.166764608 0.483343091 0.240776598 0.62825885 0.29088351 0.491857 0.018605248 -0.267631558 0.175125688 0.07083116 0.287444745 0.131256108 0.055465548 -0.02516872 -0.1625305716 0.233804844 0.055192152 0.045922599 -0.984881721 -1.13412773
1054 1054 -0.01614894 -0.222706466 -0.360267892 -0.47607341 -0.08944175 -0.2075453 -0.106056806 0.07176178 0.320352242 0.55062463 0.601514854 0.201487924 -0.008668275 0.336509361 0.1015789594 -0.305788393 -0.197402636 -0.120184363 0.384832483 0.168670095
1058 1058 -0.242530776 -0.477598841 -0.553014453 -0.398291 -0.23979006 -0.6001575 0.143445229 -1.080830115 -0.628052718 -0.48990515 -1.234230986 -0.528583869 -0.041425575 0.149348453 0.0549771472 0.528333053 0.142925227 -0.290207517 -0.187170701 0.065127636
1067 1067 0.001011984 0.048037071 -0.325998741 -0.19663391 0.03041325 -0.249238 -0.183053135 -0.104668298 -0.181839109 -0.93618165 -0.929812289 -0.430398185 0.801066185 -0.86235579 -1.1765004958 0.553676051 0.571667573 -0.64475082 -0.207650159 -0.707441212
1070 1070 0.184973751 0.138158845 0.290501397 0.23163166 0.13731759 0.2323525 -0.261027429 0.349105299 0.088457485 0.14228216 0.554965173 -0.116378201 -0.486715318 0.158208437 -0.0160610305 -0.087573028 0.048070807 -0.034900188 0.27934048 0.312631295
1072 1072 0.311877788 0.28188898 0.092560032 -0.16534869 -0.10182716 0.03231153 -0.261643971 0.025080604 -0.045021282 0.30031502 0.080224151 0.049061825 0.273987135 -0.100516887 0.0372924146 0.676005214 0.255458646 0.025954723 0.066356129 0.345884289
1076 1076 -0.021534592 -0.229236512 -0.316292926 -0.45536076 -0.59490191 -0.3879884 0.073063432 0.008500122 -0.154701696 -0.1236562 0.022439729 -0.068739506 0.059388469 0.119470884 0.2451812463 -0.311808838 -0.002634524 -0.41635002 -0.409433423 -0.169052625
1080 1080 0.019906912 0.045272826 0.09574474 0.27728738 0.17264614 0.3252878 0.228846773 -0.15152659 -0.215166096 -0.35531594 -0.24640259 -0.460835122 0.455696735 -0.33568834 0.0045577851 0.008071939 0.231902812 0.326337615 0.819443875 1.583164439
1083 1083 -0.165915665 -0.153545098 0.366407431 0.20178522 -0.0350888 -0.1411102 0.117876986 0.510254103 0.051679598 -0.28657833 0.311793989 -0.140350529 -0.128702468 0.213348391 0.1215321326 -0.757147395 -0.047245516 0.326224652 -0.499782113 -0.413148461
1085 1085 0.174999424 0.61660196 0.630430716 0.43294611 0.77977664 0.5477432 -0.449145142 0.199140118 -0.014950956 0.28027676 0.049642848 0.272543605 -0.028572797 0.125603747 -0.1640694229 0.295209985 -0.141188043 0.168447983 0.171511271 -0.420065516
1087 1087 0.187817722 0.13282592 -0.277336037 0.19711996 -0.15024653 -0.00511911 0.018815004 0.110771417 0.04356512 0.6131584 0.866620807 0.217117636 0.549627563 -0.356975411 -0.0898058191 0.120024457 0.178015978 -0.127549891 -0.269139382 -0.601353902
1088 1088 -0.225938966 -0.729926734 -0.790067269 -0.26033171 -0.56737933 -0.4472673 0.04056587 -0.051005722 0.016951061 -0.23483358 -0.879215877 0.158288675 -0.291104045 0.269290406 0.1886230574 -0.522883459 -0.023031582 -0.658764006 0.627211863 0.707328231
1094 1094 0.062320915 0.070064633 0.156188061 -0.18893269 -0.18736165 0.05340578 0.078959686 0.004402739 0.120344805 -0.10956083 -0.004639448 0.4799876 -0.134714179 0.137433397 0.0564105447 -0.682365867 -0.072108855 -0.121166491 -0.522459657 -0.425484794
2010 2010 -0.152178107 0.005971547 -0.120800501 -0.15828279 -0.45160205 -0.1701365 0.345968158 0.079275542 0.129803459 0.16087398 -0.009248334 -0.320463234 -0.087876876 -0.053586108 -0.0449484722 0.014042612 0.266076433 -0.367222867 -0.584386381 -0.553573795
2012 2012 0.003693598 0.304626256 0.501166865 0.06113312 0.66336008 0.5131498 -0.081826909 0.183976869 0.618352388 0.54451104 0.811812121 0.470905838 -0.540993163 0.248631179 -0.0003332459 -0.03019166 -0.156608506 0.226621948 1.235659292 1.706563054
2029 2029 0.024997294 0.152574748 -0.047278301 -0.13366349 -0.06263717 -0.05783884 0.140093061 -0.330217919 -0.532952914 -0.51368302 -0.802552969 -0.034247251 -0.065682511 0.0052872 0.1666200158 -1.003454632 0.118951317 0.302760374 0.418616968 0.65853308
2030 2030 -0.146380283 -0.054415468 -0.178932093 -0.35476513 -0.13909959 -0.3102341 -0.07225927 -0.324080077 -0.439333368 -0.42039094 -0.268581468 -0.338521252 0.391082103 -0.211448705 -0.0946378253 0.468827514 0.311007903 0.117580588 -0.418216667 -0.646576916
2034 2034 0.063309245 -0.422674976 -0.660723307 -0.45044685 -0.42091621 -0.4178468 -0.257164966 -0.106005114 -0.063774369 0.10940465 0.04191159 0.051510609 0.112671929 -0.062586881 0.1053956691 0.158801827 -0.095129055 -0.076518276 0.786718806 1.1188279
2036 2036 0.027582151 0.089026479 0.13582458 -0.05863873 0.23349818 -0.01044194 0.196263937 -0.284714372 -0.177357649 -0.39207516 -0.244647367 0.046126154 -0.338287099 0.569600226 0.4593890124 -0.312919605 -0.416548307 0.068669472 0.81382986 0.96008512
2040 2040 -0.112581572 -0.400529408 -0.028351125 0.17002985 -0.22330612 0.1297127 -0.125112669 -0.569048879 -0.211887059 -0.44090026 -0.788798597 -0.047174532 0.374914468 -0.058868804 -0.3680839483 -0.060479085 0.076912263 -0.134238672 -0.614890967 -0.643439955
2042 2042 0.189736597 0.445112164 0.228411962 0.21761775 0.49014961 0.298802 0.023793285 0.410287964 0.010086759 0.50798056 0.784957633 0.253431853 0.126763711 0.131864968 0.0647399034 -0.182847307 0.183911582 -0.048905546 -0.061438015 -0.051355899
2044 2044 0.189291869 0.387756947 0.510794663 0.72161463 0.86014829 0.6291959 -0.267782552 0.005642853 0.174304474 -0.09376828 -0.048761012 -0.112689216 -0.612040531 0.162868523 0.1723645339 0.152878058 -0.047581596 0.20591269 -0.587273318 -0.461077667
2045 2045 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2047 2047 -0.036698328 -0.251931999 -0.683030198 -0.96358094 -0.75494771 -0.4197755 0.076279283 0.289619086 0.055748305 0.00491239 0.53742031 0.139804876 -0.138471065 -0.13526637 -0.2895502786 0.121091294 0.179831847 -0.23814681 -0.244979446 -0.547821192
2052 2052 -0.165646315 -0.146963921 -0.499412258 -0.81683438 -0.40826314 -0.8990609 0.092818121 0.293679808 0.095022501 0.05680142 0.304110814 -0.249738945 -0.078866639 -0.028744555 0.0523517449 -0.0291274 -0.539669698 -0.07368953 -0.087877538 0.199262626
2054 2054 0.124799768 0.09523412 0.436199697 0.48381672 0.36048222 0.4647971 -0.018648999 -0.177692989 -0.206733947 -0.12502749 -0.36311836 -0.200052414 -0.421384225 0.149384304 -0.0740457159 -0.303766223 0.065919663 0.139368168 0.615962743 0.461012308
2062 2062 -0.466451896 -0.189020246 -0.514889077 0.09354305 -0.51313735 -0.5225332 -0.009169714 0.156936063 -0.141032656 -0.2147845 -0.300883513 -0.294600392 0.059046363 -0.107969826 0.2005518611 0.131970216 0.12357151 0.252512298 -0.46758656 -0.61647719
2067 2067 -0.043535293 -0.479709946 0.116874831 0.27051602 -0.07904186 0.1175582 0.237139151 -0.22563421 0.009084341 0.16157952 -0.118440295 0.059665167 -0.270228122 -0.221594443 -0.1313620668 -0.04876806 0.094235472 0.01426091 -0.842761881 -0.552700654
2072 2072 -0.114965245 -0.149869165 0.197944861 0.44755699 0.09341635 0.3632369 -0.151730524 -0.1069983 -0.028873617 -0.38905035 -0.505698408 -0.288298035 0.249835077 -0.15145023 -0.0717162244 0.498979672 0.123390637 -0.455201654 0.479166089 1.000900903
2075 2075 0.05217725 -0.08890981 -0.159101791 -0.02426753 -0.13846504 0.06046798 -0.106857505 -0.108608874 -0.221731919 -0.36187371 -0.013653242 -0.13604657 -0.322204746 0.061774463 0.0206537266 -0.202980788 -0.146729055 0.134984154 -0.230475517 -0.346029143
2078 2078 0.004216968 -0.019670965 -0.163622603 -0.13370973 -0.25351383 -0.1105398 0.011644811 -0.15823794 0.200815755 0.14454325 -0.280828076 0.012636845 0.062447956 -0.040412316 -0.2148058026 0.18105975 0.004230795 0.073945286 0.224274396 0.049425221
2086 2086 0.098178012 0.319888816 0.356186075 0.34486504 0.37306529 0.3532107 -0.142244974 0.24931692 0.163118369 0.5688183 1.077760193 0.52261709 -0.172179008 0.271836026 0.0866998246 -0.321123941 -0.358178465 0.153783732 -0.165271232 -0.199632357
2087 2087 -0.236430581 -0.691134854 -0.364086531 -0.16062345 -0.28662969 -0.2605212 0.004271301 0.389839246 0.212139044 0.71656635 0.041635939 0.554184384 -0.362492256 -0.210829412 0.0844596755 -0.043988349 0.052031534 -0.006931904 0.116893941 0.417098116
2090 2090 -0.14578484 -0.605716536 -0.866882842 -0.25156563 -0.29119795 -0.8346558 0.204536821 0.581054571 0.529246186 0.05364743 0.101549685 0.419289709 -0.21173617 0.213100546 0.3025392927 0.663498341 -0.161588779 -0.388613391 0.978890895 1.071359648
2133 2133 0.059932362 0.1789845 -0.054327574 -0.36031951 0.30451932 0.1477215 -0.33670132 0.158169438 0.504891264 0.23338307 0.711844921 0.579750238 0.004714343 -0.172464565 -0.3364480198 0.399154029 -0.090148957 -0.004024598 -0.583841218 -0.851213646
2140 2140 0.091917404 -0.628171308 -0.956970271 -0.80320394 -0.91094744 -0.8422424 0.043951733 -0.00471837 -0.185377666 -0.26259424 -0.302879021 -0.303210265 -0.135310905 -0.207644963 -0.1857177934 0.428236496 0.53601337 0.236878665 -0.246464244 -0.363298281
2144 2144 0.206360801 0.276675221 0.47118575 0.38412622 -0.01194041 0.4925085 -0.063147405 -0.041152183 0.211144011 0.08971795 0.576474826 -0.404208461 0.055614964 0.067364403 0.3312384037 0.276800568 -0.19988446 -0.078427222 -0.149004178 0.091502596
2145 2145 -0.270418895 -0.272196658 0.224181246 0.10489401 -0.02399713 0.3828226 -0.161239205 0.60583807 0.651739472 0.71974406 0.792397175 0.16376451 0.285288364 0.042592218 -0.1930339889 0.531778028 0.186522852 -0.06294875 0.143566909 0.387840331
2148 2148 -0.155873935 -0.633819007 -0.139768992 -0.23566089 -0.2922433 -0.2023487 0.128183056 -0.418880239 -0.552984766 -0.68565692 -0.364806181 -0.299276735 0.71890801 -0.965499768 -0.6081429261 0.447223142 0.206936023 -0.662638941 -0.574304907 -0.522730892
2166 2166 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
